ame	gender
will	muško
gared	muško
jon snow	muško
robb stark	muško
bran stark	muško
theon greyjoy	muško
jaime lannister	muško
robert baratheon	muško
tyrion lannister	muško
benjen	muško
jorah mormont	muško
sandor clegane	muško
joffrey lannister	muško
benjen stark	muško
varys	muško
renly baratheon	muško
petyr baelish	muško
alliser thorne	muško
jeor mormont	muško
barristan selmy	muško
sam tarly	muško
gendry baratheon	muško
bronn	muško
tywin lannister	muško
rickon stark	muško
sam pyp and grenn	muško
sam	muško
stannis baratheon	muško
podrick	muško
jeor	muško
renly	muško
roose bolton	muško
rickon	muško
roose	muško
tormund	muško
barristan	muško
ramsay bolton	muško
edmure	muško
edmure roslin	muško
renly dwarf	muško
robb dwarf	muško
joffrey dwarf	muško
stannis dwarf	muško
alliser thorn	muško
alliser	muško
petyr	muško
alliser throne	muško
sandor	muško
ned alys	muško
sansa stark	žensko
catelyn stark	žensko
cersei lannister	žensko
arya stark	žensko
ros	žensko
daenerys targaryen	žensko
myrcella baratheon	žensko
lysa arryn	žensko
osha	žensko
shae	žensko
myrcella	žensko
gilly	žensko
melisandre	žensko
margaery tyrell	žensko
brienne	žensko
talisa	žensko
ygritte	žensko
missandei	žensko
meera	žensko
ellaria	žensko
lysa	žensko
lyanna	žensko
lyanna mormont	žensko
waymar royce	nepoznato
royce	nepoznato
septa mordane	žensko
eddard stark	muško
jonrobb	nepoznato
cassel	nepoznato
maester luwin	muško
luwin	nepoznato
viserys	muško
maid	nepoznato
illyrio	nepoznato
a voice	nije_ime
khal drogo	muško
doreah	žensko
irri	žensko
viserys targaryen	muško
assassin	nije_ime
jhiqui	žensko
rodrick cassel	nepoznato
mycah	nepoznato
soldier	nije_ime
jory cassel	nepoznato
kings landing guard	nepoznato
grand maester pycelle	muško
old nan	žensko
guard	nije_ime
grenn	muško
pyp	muško
rast	nepoznato
lancel lannister	muško
rakharo	muško
yoren	nepoznato
rhakaro	nepoznato
maester aemon	muško
syrio forel	nepoznato
janos slynt	muško
hugh of vale	nepoznato
tobho mott	nepoznato
marillion	nepoznato
masha heddle	žensko
